,influence_score,score_out,score_in,is_driver_regulator,is_MFVS_driver,is_Energy_driver,energy_score,is_TF,
MYC,6.042792701721192,6.695259094238281,3.432927131652832,TRUE,TRUE,TRUE,0.00031380130191237764,TRUE,1
JUND,6.035458087921143,6.849339485168457,2.7799324989318848,TRUE,TRUE,TRUE,0.0002539826714368632,TRUE,2
HDAC2,5.679513502120972,6.448884963989258,2.602027654647827,TRUE,TRUE,TRUE,0.00041798754473371845,FALSE,3
FOSL2,5.6602266311645515,6.3493876457214355,2.9035825729370117,TRUE,TRUE,TRUE,0.0004798696267739414,TRUE,4
JUN,5.622738409042359,6.092268943786621,3.7446162700653076,TRUE,TRUE,TRUE,0.0006542140471511059,TRUE,5
HNF4A,5.549307584762573,6.196494102478027,2.960561513900757,TRUE,TRUE,TRUE,0.0006158199508109688,TRUE,6
ZEB1,5.539839458465576,6.3557209968566895,2.276313304901123,TRUE,TRUE,TRUE,0.0005095397103915435,TRUE,7
NFIC,5.496525287628174,6.364387512207031,2.025076389312744,TRUE,FALSE,TRUE,0.0005040429507015722,TRUE,8
CEBPD,5.418089032173157,6.32243537902832,1.8007036447525024,TRUE,TRUE,TRUE,0.0005462919827081169,TRUE,9
FOXP1,5.312182617187499,5.8987650871276855,2.965852737426758,TRUE,TRUE,TRUE,0.0009194923022820286,TRUE,10
HIF1A,5.106960105895997,5.347525596618652,4.144698143005371,TRUE,TRUE,TRUE,0.0019119592285973368,TRUE,11
ARID3A,5.037029838562012,5.711085319519043,2.3408079147338867,TRUE,TRUE,TRUE,0.0010558773727113251,TRUE,12
STAT3,4.960470962524414,5.30383825302124,3.5870018005371094,TRUE,TRUE,TRUE,0.0018258567501247276,TRUE,13
CTNNB1,4.931811428070069,5.145163059234619,4.078404903411865,TRUE,TRUE,TRUE,0.0026856319671033934,FALSE,14
SPI1,4.877018785476685,5.429099082946777,2.6686975955963135,TRUE,TRUE,TRUE,0.0017415200426385224,TRUE,15
FOS,4.829335308074952,5.159780502319336,3.507554531097412,TRUE,TRUE,TRUE,0.0019834245134428487,TRUE,16
KLF5,4.505987739562988,4.655797004699707,3.9067506790161133,TRUE,FALSE,TRUE,0.007799842959584929,TRUE,17
ETS1,4.352451848983765,4.732792854309082,2.831087827682495,TRUE,TRUE,TRUE,0.0038865064571192804,TRUE,18
EPAS1,4.349321460723877,4.740809440612793,2.783369541168213,TRUE,TRUE,TRUE,0.004354914767297228,TRUE,19
NR3C1,4.164669752120972,4.399798393249512,3.2241551876068115,TRUE,TRUE,TRUE,0.005140890050543987,TRUE,20
SOX9,4.1182239055633545,4.151401042938232,3.9855153560638428,TRUE,FALSE,TRUE,0.015156712061279127,TRUE,21
MAPK3,4.04343810081482,4.287081718444824,3.0688636302948,TRUE,TRUE,TRUE,0.00563411614159521,FALSE,22
ATM,3.9997496604919434,4.00352144241333,3.9846625328063965,TRUE,TRUE,TRUE,0.016728373228158372,FALSE,23
CCND1,3.9375017166137694,4.0023579597473145,3.67807674407959,TRUE,TRUE,TRUE,0.006424681814361186,FALSE,24
JUNB,3.9249571323394776,4.147850036621094,3.0333855152130127,TRUE,TRUE,TRUE,0.006753268440685691,TRUE,25
FOSB,3.8846161365509033,4.270853519439697,2.3396666049957275,TRUE,TRUE,TRUE,0.006947393077679537,TRUE,26
SNAI2,3.7937530040740968,4.1937336921691895,2.1938302516937256,TRUE,TRUE,TRUE,0.008934541864230497,TRUE,27
EBF1,3.78716082572937,4.099304676055908,2.5385854244232178,TRUE,TRUE,TRUE,0.00850273176496964,TRUE,28
IKZF3,3.7549609184265136,3.707810878753662,3.94356107711792,TRUE,TRUE,TRUE,0.037412922865502636,TRUE,29
ELF3,3.722414016723633,3.6854748725891113,3.8701705932617188,TRUE,FALSE,TRUE,0.03819625386511701,TRUE,30
B2M,3.7049324989318846,3.6691794395446777,3.847944736480713,TRUE,TRUE,TRUE,0.01927931269189149,FALSE,31
PA2G4,3.6996788501739504,4.030520439147949,2.376312494277954,TRUE,TRUE,TRUE,0.009464126538352938,TRUE,32
CDH1,3.676215076446533,3.5835189819335938,4.046999454498291,TRUE,FALSE,TRUE,0.012364492322900199,FALSE,33
POLR2I,3.661958742141724,3.727755308151245,3.3987724781036377,TRUE,TRUE,TRUE,0.0110477846715606,FALSE,34
ERBB3,3.6582048416137694,3.5835189819335938,3.9569482803344727,TRUE,FALSE,TRUE,0.01607988504709606,FALSE,35
PIK3R1,3.6524341106414795,3.5835189819335938,3.9280946254730225,TRUE,FALSE,TRUE,0.01610529075256685,FALSE,36
REL,3.6488129615783693,3.8582332134246826,2.8111319541931152,TRUE,TRUE,TRUE,0.011089652281309002,TRUE,37
SYNCRIP,3.637538433074951,3.5835189819335938,3.853616237640381,TRUE,FALSE,TRUE,0.021147008393542253,FALSE,38
QKI,3.628025388717651,3.5835189819335938,3.806051015853882,TRUE,FALSE,TRUE,0.027563195325970503,FALSE,39
ZFP36L2,3.621605014801025,3.5835189819335938,3.773949146270752,TRUE,FALSE,TRUE,0.03068006587602701,FALSE,40
CDC5L,3.620739459991455,3.7600133419036865,3.0636439323425293,TRUE,TRUE,TRUE,0.01332651688688064,TRUE,41
