,influence_score,score_out,score_in,is_driver_regulator,is_MFVS_driver,is_Energy_driver,energy_score,is_TF,
MYC,6.016931200027466,6.653861045837402,3.4692118167877197,TRUE,TRUE,TRUE,0.0003082556257999463,TRUE,1
SMARCC1,5.997380208969117,6.740420818328857,3.0252177715301514,TRUE,TRUE,TRUE,0.0002846411864487433,FALSE,2
JUND,5.9677423477172855,6.846157550811768,2.4540815353393555,TRUE,FALSE,TRUE,0.00024310854326386073,TRUE,3
MXI1,5.966866540908814,6.790855884552002,2.6709091663360596,TRUE,FALSE,TRUE,0.00024649789921579116,TRUE,4
HDAC2,5.791496849060059,6.522150993347168,2.868880271911621,TRUE,TRUE,TRUE,0.0003896644594837339,FALSE,5
ELF1,5.785851335525513,6.6157708168029785,2.4661734104156494,TRUE,TRUE,TRUE,0.00036109391030369846,TRUE,6
CEBPB,5.737560081481934,6.407012462615967,3.059750556945801,TRUE,TRUE,TRUE,0.000467053180196676,TRUE,7
FOXA1,5.648518228530884,6.3653788566589355,2.7810757160186768,TRUE,TRUE,TRUE,0.00045251628410845484,TRUE,8
HNF4A,5.567507743835449,6.215409278869629,2.9759016036987305,TRUE,TRUE,TRUE,0.0005706129928594618,TRUE,9
FOSL2,5.557981872558594,6.34706449508667,2.401651382446289,TRUE,TRUE,TRUE,0.0004809937230339394,TRUE,10
ZBTB7A,5.236937403678895,6.064096450805664,1.928301215171814,TRUE,FALSE,TRUE,0.000840052847302048,TRUE,11
SMARCA4,4.921690559387207,5.383815765380859,3.0731897354125977,TRUE,TRUE,TRUE,0.001659262634347056,FALSE,12
FOS,4.848412990570068,5.227927207946777,3.3303561210632324,TRUE,TRUE,TRUE,0.0018858254805415356,TRUE,13
CTBP2,4.594175672531128,5.047791957855225,2.779710531234741,TRUE,TRUE,TRUE,0.003552153094119149,FALSE,14
CUX1,4.354506635665894,4.459303379058838,3.935319662094116,TRUE,TRUE,TRUE,0.00828171868476542,TRUE,15
ETS1,4.335794115066529,4.743377685546875,2.7054598331451416,TRUE,TRUE,TRUE,0.004147577018733987,TRUE,16
KLF5,4.3063160419464115,4.41911506652832,3.8551199436187744,TRUE,TRUE,TRUE,0.008751697231323127,TRUE,17
NR3C1,4.17443881034851,4.378181457519531,3.3594682216644287,TRUE,TRUE,TRUE,0.004877194827772479,TRUE,18
RUNX1,4.066292142868042,4.237128734588623,3.3829457759857178,TRUE,TRUE,TRUE,0.005361235155794289,TRUE,19
SRC,4.000624179840088,3.987720251083374,4.052239894866943,TRUE,TRUE,TRUE,0.017960397284306838,FALSE,20
SOX9,3.9862459659576417,3.989612340927124,3.972780466079712,TRUE,FALSE,TRUE,0.023003043418501897,TRUE,21
EPAS1,3.9701598167419436,4.301904201507568,2.6431822776794434,TRUE,TRUE,TRUE,0.0059571450555900895,TRUE,22
FOSB,3.825933265686035,4.117003917694092,2.6616506576538086,TRUE,TRUE,TRUE,0.00747303213895804,TRUE,23
